workflow,trajectory_error,initial_error,operator_error
adiabatic-x,2.69054150595764e-15,1.83230566753696e-15,8.38493146552829e-18
closed-x,1.03679112912203e-16,6.3373335750006e-17,8.38493146552829e-18
sse-x,1.81298706016028e-15,1.83230566753696e-15,8.38493146552829e-18
lindblad-x,3.28995804651036e-15,3.2980897172078e-15,8.38493146552829e-18
adiabatic-x2,6.59682654238988e-15,9.92471913785133e-15,2.17242293447794e-19
closed-x2,3.28049339648758e-15,1.83194026935042e-15,2.17242293447794e-19
sse-x2,9.66596457981195e-15,9.92471913785133e-15,2.17242293447794e-19
lindblad-x2,7.48129702877615e-15,7.50158296928393e-15,2.17242293447794e-19
adiabatic-x3,6.59682654238988e-15,9.92471913785133e-15,1.1110816341422e-19
closed-x3,3.28049339648758e-15,1.83194026935042e-15,1.1110816341422e-19
sse-x3,6.30954410526618e-15,9.92471913785133e-15,1.1110816341422e-19
lindblad-x3,6.87608699071256e-15,7.50158296928393e-15,1.1110816341422e-19
nm-sse,1.00824174497071e-14,9.93597273221291e-15,3.15856490590668e-19
nm-density,9.89534134555308e-15,9.92471913785133e-15,3.15856490590668e-19
nm-density-full,9.89534134555308e-15,9.92471913785133e-15,3.15856490590668e-19
switch-sse,3.57852131961243e-13,3.52666688340467e-13,5.60147970391157e-21
switch-lindblad,3.71577944623312e-12,3.71577684414141e-12,5.60147970391157e-21
switch-nm-sse,3.52672937740808e-13,3.52666688340467e-13,6.0407024110025e-21
variable-step,5.9033276109866e-15,9.92471913785133e-15,1.1110816341422e-19
zero-channel,3.29919080091006e-15,3.2980897172078e-15,8.38493146552829e-18
